folder,image_path,status,width,height
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_230344.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_230442.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_230521.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_230600.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_230638.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_230717.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_230756.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_230835.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_230933.jpg,ok,640,480
C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\Data\bubat barat\pagi\BubatBrt_20260512_231012.jpg,ok,640,480
