epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2486.84,0.91365,1.31488,1.09538,0.40033,0.43897,0.43076,0.33148,1.03037,1.72156,1.14569,0.0004654,0.0004654,0.0004654
83,2514.53,0.89777,1.2837,1.09253,0.49105,0.42184,0.43213,0.33873,0.97061,1.54066,1.11582,0.0004588,0.0004588,0.0004588
84,2542.67,0.89868,1.27761,1.08951,0.34552,0.42319,0.4142,0.30531,1.01014,1.57259,1.13391,0.0004522,0.0004522,0.0004522
85,2570.34,0.89595,1.25874,1.08804,0.62377,0.38706,0.42856,0.31516,1.0349,1.63339,1.14743,0.0004456,0.0004456,0.0004456
86,2597.83,0.91059,1.28405,1.10184,0.4948,0.56237,0.4277,0.32286,1.05141,1.57314,1.15327,0.000439,0.000439,0.000439
87,2625.77,0.90448,1.23996,1.08334,0.60012,0.44551,0.47082,0.36336,1.02335,1.56861,1.13811,0.0004324,0.0004324,0.0004324
88,2653.45,0.90038,1.26725,1.0894,0.36239,0.41322,0.37382,0.27721,1.02926,1.68312,1.15039,0.0004258,0.0004258,0.0004258
89,2680.84,0.89081,1.27613,1.09144,0.64879,0.39531,0.46417,0.36223,1.00101,1.62523,1.13773,0.0004192,0.0004192,0.0004192
90,2708.67,0.89691,1.22849,1.08202,0.40071,0.43551,0.46786,0.35251,1.03632,1.67851,1.14637,0.0004126,0.0004126,0.0004126
91,2736.13,0.88663,1.2213,1.07818,0.51177,0.41324,0.45449,0.35836,0.97663,1.59355,1.13124,0.000406,0.000406,0.000406
92,2763.78,0.85574,1.18046,1.06313,0.40474,0.45152,0.43679,0.33697,1.02539,1.60349,1.14508,0.0003994,0.0003994,0.0003994
93,2791.05,0.86497,1.20397,1.07901,0.35358,0.40081,0.38616,0.28903,1.0249,1.63677,1.14739,0.0003928,0.0003928,0.0003928
94,2818.7,0.86841,1.19432,1.07349,0.47346,0.57821,0.55947,0.4472,1.05128,1.60043,1.15967,0.0003862,0.0003862,0.0003862
95,2846.22,0.87242,1.15591,1.06708,0.75368,0.36033,0.47317,0.36075,1.03527,1.66051,1.15297,0.0003796,0.0003796,0.0003796
96,2873.93,0.8806,1.20204,1.07679,0.83273,0.35445,0.4558,0.35178,1.01425,1.63628,1.15023,0.000373,0.000373,0.000373
97,2902.07,0.87294,1.19857,1.07266,0.40108,0.47255,0.44583,0.35192,0.97771,1.58265,1.13832,0.0003664,0.0003664,0.0003664
98,2929.76,0.85077,1.15172,1.06685,0.59345,0.41099,0.46872,0.37369,0.99462,1.62587,1.13788,0.0003598,0.0003598,0.0003598
99,2957.19,0.85828,1.14671,1.05553,0.68022,0.44288,0.44717,0.35944,0.93538,1.60541,1.1152,0.0003532,0.0003532,0.0003532
100,2985.15,0.86567,1.16207,1.05855,0.53751,0.43823,0.45633,0.36328,0.94132,1.5826,1.1166,0.0003466,0.0003466,0.0003466
101,3012.63,0.86212,1.18103,1.07244,0.57362,0.48328,0.47308,0.36983,0.96072,1.58811,1.13017,0.00034,0.00034,0.00034
102,3040.15,0.85516,1.1628,1.06149,0.51337,0.43179,0.44869,0.35434,0.96075,1.59138,1.12777,0.0003334,0.0003334,0.0003334
103,3067.81,0.84549,1.14281,1.05915,0.6452,0.38604,0.45775,0.35916,0.97354,1.61501,1.12499,0.0003268,0.0003268,0.0003268
104,3095.59,0.85534,1.12645,1.06144,0.57491,0.40477,0.44457,0.35084,1.01389,1.63182,1.14472,0.0003202,0.0003202,0.0003202
105,3123.18,0.84235,1.09714,1.04422,0.71577,0.35179,0.45915,0.35575,1.0388,1.665,1.15773,0.0003136,0.0003136,0.0003136
106,3150.91,0.83667,1.0966,1.05086,0.34631,0.50262,0.4565,0.361,1.0125,1.62225,1.1497,0.000307,0.000307,0.000307
107,3178.52,0.82704,1.12104,1.0495,0.38241,0.49838,0.44721,0.35359,0.95334,1.61207,1.1359,0.0003004,0.0003004,0.0003004
108,3206.36,0.84113,1.12995,1.05669,0.37792,0.48629,0.45066,0.34662,0.98807,1.65466,1.14053,0.0002938,0.0002938,0.0002938
109,3233.74,0.84266,1.13738,1.05639,0.36089,0.41992,0.42062,0.33307,0.95681,1.67254,1.13831,0.0002872,0.0002872,0.0002872
110,3261.2,0.82361,1.09052,1.04354,0.38361,0.48859,0.4594,0.36534,0.95975,1.64123,1.13675,0.0002806,0.0002806,0.0002806
111,3288.83,0.83686,1.10319,1.05689,0.43545,0.47804,0.46101,0.36098,1.00795,1.65903,1.14446,0.000274,0.000274,0.000274
112,3316.64,0.81188,1.07209,1.0489,0.39905,0.48631,0.46195,0.35979,0.99336,1.70624,1.13521,0.0002674,0.0002674,0.0002674
113,3344.41,0.80845,1.06216,1.03688,0.37786,0.53161,0.4364,0.33746,0.96298,1.60849,1.12537,0.0002608,0.0002608,0.0002608
114,3372.26,0.81202,1.04317,1.0382,0.49982,0.46783,0.49308,0.3853,0.98377,1.64594,1.13658,0.0002542,0.0002542,0.0002542
115,3399.73,0.81112,1.07801,1.04118,0.70157,0.36121,0.47064,0.36991,0.96953,1.68078,1.13358,0.0002476,0.0002476,0.0002476
116,3427.58,0.82366,1.0888,1.04704,0.57333,0.4267,0.48482,0.38511,0.995,1.65239,1.14116,0.000241,0.000241,0.000241
117,3455.61,0.7971,1.02852,1.02705,0.43635,0.47044,0.46313,0.36997,0.95346,1.66482,1.13116,0.0002344,0.0002344,0.0002344
118,3483.7,0.78661,1.01574,1.0303,0.44264,0.52955,0.49564,0.40446,0.9304,1.67958,1.125,0.0002278,0.0002278,0.0002278
119,3511.38,0.7962,1.03298,1.03546,0.4808,0.52731,0.50066,0.39563,0.9928,1.68155,1.15285,0.0002212,0.0002212,0.0002212
120,3539.04,0.79333,1.01752,1.03292,0.54921,0.51257,0.53122,0.43467,0.95981,1.65408,1.13679,0.0002146,0.0002146,0.0002146
121,3566.7,0.80273,1.02417,1.03514,0.39549,0.45185,0.4574,0.36069,0.96824,1.65548,1.13915,0.000208,0.000208,0.000208
122,3594.57,0.78511,0.99636,1.02251,0.45524,0.42241,0.46152,0.36357,0.97896,1.67567,1.14281,0.0002014,0.0002014,0.0002014
123,3622.14,0.79057,1.03485,1.03609,0.67466,0.4329,0.51845,0.41083,0.97547,1.71615,1.13919,0.0001948,0.0001948,0.0001948
124,3650.17,0.77903,0.99073,1.03099,0.48457,0.57931,0.54582,0.43174,0.98208,1.66117,1.14419,0.0001882,0.0001882,0.0001882
